,Scaled voltage,Current*100+40,soc,Current Zero point,,usb_current,current,time,Init time,,Time diff,,voltage
0.166,36,40,0,40,,5700,0,1609459200,1609459200,,0,,3.6
0.249,41.1,36.44,100,40,,5700,-356,1609459200,,,0,,4.11
0.332,40.3,31.42,100,40,,5700,-858,1609459200,,,0,,4.03
0.415,40.2,30.61,100,40,,5700,-939,1609459200,,,0,,4.02
0.498,40.3,32.1,100,40,,5700,-790,1609459200,,,0,,4.03
0.581,40.3,32.14,100,40,,5700,-786,1609459200,,,0,,4.03
0.664,40.3,32.15,100,40,,5700,-785,1609459200,,,0,,4.03
0.747,40.3,32.07,100,40,,5700,-793,1609459200,,,0,,4.03
0.83,40.3,32.11,100,40,,5700,-789,1609459200,,,0,,4.03
0.913,40.2,32.07,100,40,,5700,-793,1609459200,,,0,,4.02
0.996,40.2,32.1,100,40,,5700,-790,1609459200,,,0,,4.02
1.079,40.3,32.45,100,40,,5700,-755,1609459200,,,0,,4.03
1.162,39.9,30.78,100,40,,5700,-922,1609459200,,,0,,3.99
1.245,40.2,32.04,100,40,,5700,-796,1609459200,,,0,,4.02
1.328,40.2,32.07,99,40,,5700,-793,1609459200,,,0,,4.02
1.411,40.2,31.98,99,40,,5700,-802,1609459200,,,0,,4.02
1.494,38.9,29.28,99,40,,5700,-1072,1609459200,,,0,,3.89
1.577,40.3,33.97,99,40,,5700,-603,1609459200,,,0,,4.03
1.66,40.3,33.75,99,40,,5700,-625,1609459200,,,0,,4.03
1.743,39.8,29.63,99,40,,5700,-1037,1609459200,,,0,,3.98
1.826,40.2,33.12,99,40,,5700,-688,1609459200,,,0,,4.02
1.909,40.1,31.95,99,40,,5700,-805,1609459200,,,0,,4.01
1.992,40.3,34.29,99,40,,5700,-571,1609459200,,,0,,4.03
2.075,40.3,33.83,99,40,,5700,-617,1609459200,,,0,,4.03
2.158,40.4,34.32,99,40,,5700,-568,1609459200,,,0,,4.04
2.241,40.4,34.34,99,40,,5700,-566,1609459328,,,128,,4.04
2.324,40.3,33.9,99,40,,5700,-610,1609459328,,,128,,4.03
2.407,40.3,33.87,98,40,,5700,-613,1609459328,,,128,,4.03
2.49,40.4,34.35,98,40,,5700,-565,1609459328,,,128,,4.04
2.573,40.3,33.84,98,40,,5700,-616,1609459328,,,128,,4.03
2.656,40.4,34.34,98,40,,5700,-566,1609459328,,,128,,4.04
2.739,40.3,33.88,98,40,,5700,-612,1609459328,,,128,,4.03
2.822,40.4,34.3,98,40,,5700,-570,1609459328,,,128,,4.04
2.905,40.3,33.93,98,40,,5700,-607,1609459328,,,128,,4.03
2.988,40.3,33.71,98,40,,5700,-629,1609459328,,,128,,4.03
