1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.70 V, Current: -433.00 mA, SOC: 39.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.63 V, Current: -895.00 mA, SOC: 56.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.62 V, Current: -1547.00 mA, SOC: 56.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.64 V, Current: -924.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.64 V, Current: -926.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.64 V, Current: -947.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.63 V, Current: -922.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.61 V, Current: -1154.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.60 V, Current: -1076.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.64 V, Current: -856.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.64 V, Current: -882.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.63 V, Current: -905.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.63 V, Current: -881.00 mA, SOC: 55.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.66 V, Current: -660.00 mA, SOC: 54.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.66 V, Current: -667.00 mA, SOC: 54.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.65 V, Current: -694.00 mA, SOC: 54.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.65 V, Current: -701.00 mA, SOC: 54.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.66 V, Current: -656.00 mA, SOC: 54.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.66 V, Current: -660.00 mA, SOC: 54.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.65 V, Current: -699.00 mA, SOC: 54.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.66 V, Current: -658.00 mA, SOC: 54.0 %, USB_Protocol: 114, USB_Current: 5700 mA
