1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.46 V, Current: -426.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.70 V, Current: 1399.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 1000.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.68 V, Current: 1203.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.68 V, Current: 1192.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.68 V, Current: 1169.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.68 V, Current: 1160.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.74 V, Current: 1613.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.74 V, Current: 1577.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.75 V, Current: 1552.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.75 V, Current: 1618.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.74 V, Current: 1542.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.75 V, Current: 1595.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.75 V, Current: 1577.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.76 V, Current: 1638.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.77 V, Current: 1683.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.76 V, Current: 1632.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
