1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.11 V, Current: -356.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -858.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.02 V, Current: -939.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -790.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -786.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -785.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -793.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -789.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.02 V, Current: -793.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.02 V, Current: -790.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -755.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.99 V, Current: -922.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.02 V, Current: -796.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.02 V, Current: -793.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.02 V, Current: -802.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.89 V, Current: -1072.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -603.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -625.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.98 V, Current: -1037.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.02 V, Current: -688.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.01 V, Current: -805.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -571.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.03 V, Current: -617.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.04 V, Current: -568.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.04 V, Current: -566.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -610.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -613.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.04 V, Current: -565.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -616.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.04 V, Current: -566.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -612.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.04 V, Current: -570.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -607.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -629.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -605.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -613.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -614.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.03 V, Current: -617.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.84 V, Current: -2275.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
