1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.25 V, Current: -47.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.25 V, Current: -47.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.25 V, Current: -47.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.25 V, Current: -47.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1752240896s | Voltage: 4.26 V, Current: 0.00 mA, SOC: 100.0 %, USB_Protocol: 0, USB_Current: 0 mA
1752240896s | Voltage: 4.26 V, Current: 0.00 mA, SOC: 100.0 %, USB_Protocol: 0, USB_Current: 0 mA
1752240896s | Voltage: 4.26 V, Current: 0.00 mA, SOC: 100.0 %, USB_Protocol: 0, USB_Current: 0 mA
1752240896s | Voltage: 4.26 V, Current: 0.00 mA, SOC: 100.0 %, USB_Protocol: 0, USB_Current: 0 mA
1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.21 V, Current: -413.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.14 V, Current: -807.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.12 V, Current: -843.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.12 V, Current: -769.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.12 V, Current: -764.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.11 V, Current: -764.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.08 V, Current: -947.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.11 V, Current: -804.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.10 V, Current: -769.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.10 V, Current: -773.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.10 V, Current: -775.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.09 V, Current: -778.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.09 V, Current: -774.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.09 V, Current: -673.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.11 V, Current: -596.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.11 V, Current: -600.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.11 V, Current: -601.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.11 V, Current: -596.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.11 V, Current: -597.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 4.11 V, Current: -603.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.11 V, Current: -602.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.11 V, Current: -601.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.11 V, Current: -597.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.11 V, Current: -597.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.11 V, Current: -600.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.11 V, Current: -604.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.10 V, Current: -612.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.06 V, Current: -915.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.08 V, Current: -851.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.07 V, Current: -723.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -613.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -609.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -602.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -603.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -606.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -608.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -609.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -605.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -608.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
