1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.93 V, Current: -35.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.90 V, Current: -227.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.86 V, Current: -588.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.83 V, Current: -858.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.74 V, Current: -1139.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.82 V, Current: -843.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.82 V, Current: -828.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.82 V, Current: -818.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.82 V, Current: -828.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.82 V, Current: -846.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.82 V, Current: -783.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.81 V, Current: -829.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.81 V, Current: -834.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.81 V, Current: -837.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.81 V, Current: -783.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.81 V, Current: -832.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.83 V, Current: -588.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.83 V, Current: -614.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.83 V, Current: -594.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.83 V, Current: -621.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.83 V, Current: -597.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.83 V, Current: -589.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -646.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -600.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -629.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -597.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -593.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -592.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -593.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.82 V, Current: -643.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -591.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -597.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -599.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.82 V, Current: -646.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -603.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.83 V, Current: -592.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.85 V, Current: -424.00 mA, SOC: 83.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.82 V, Current: -803.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.69 V, Current: -1441.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.79 V, Current: -859.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.79 V, Current: -855.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.79 V, Current: -894.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.78 V, Current: -951.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.76 V, Current: -1006.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.76 V, Current: -1003.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.79 V, Current: -790.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.78 V, Current: -898.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.78 V, Current: -901.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.79 V, Current: -795.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -698.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -697.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -630.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -607.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.82 V, Current: -596.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -695.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.82 V, Current: -593.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -604.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -597.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -597.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -656.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -592.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -593.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -607.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -607.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -592.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -680.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -630.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -599.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -665.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -592.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.81 V, Current: -632.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -671.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -698.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.80 V, Current: -701.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.80 V, Current: -696.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.80 V, Current: -696.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.80 V, Current: -697.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.80 V, Current: -697.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.80 V, Current: -702.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.80 V, Current: -698.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.80 V, Current: -698.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.80 V, Current: -698.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -697.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -703.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -700.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -699.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -699.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -700.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -707.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -707.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -702.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -704.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -707.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -706.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -704.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -705.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -706.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -704.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.79 V, Current: -707.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -705.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -710.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -708.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -705.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -705.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -705.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -710.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -711.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -706.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.79 V, Current: -708.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -708.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -712.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -715.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -707.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -706.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -707.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -712.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -712.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -707.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -710.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -707.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -712.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -712.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -708.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -708.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -708.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -712.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -713.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
