1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.80 V, Current: 1387.00 mA, SOC: 1.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.80 V, Current: 1335.00 mA, SOC: 1.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 1175.00 mA, SOC: 1.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.81 V, Current: 1287.00 mA, SOC: 1.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.87 V, Current: 1762.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.86 V, Current: 1696.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.86 V, Current: 1663.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.84 V, Current: 1623.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.87 V, Current: 1730.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.87 V, Current: 1674.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.87 V, Current: 1608.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.87 V, Current: 1640.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.87 V, Current: 1638.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.88 V, Current: 1649.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.89 V, Current: 1767.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.80 V, Current: 978.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 914.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 923.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.80 V, Current: 905.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 881.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 896.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 878.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 876.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.79 V, Current: 854.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.79 V, Current: 874.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.79 V, Current: 840.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.79 V, Current: 839.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 824.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.79 V, Current: 850.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.79 V, Current: 832.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.79 V, Current: 813.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.79 V, Current: 799.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 794.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 777.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 758.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 739.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 745.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 737.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 753.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 733.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 737.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 730.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 722.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 712.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 731.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 711.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 702.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 690.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 689.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 695.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 668.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 662.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 659.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 671.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 660.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 650.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 679.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 646.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 649.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 631.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 639.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 641.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 640.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 702.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 669.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.80 V, Current: 711.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 701.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 711.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 664.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 697.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 663.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.77 V, Current: 694.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 699.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.83 V, Current: 751.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 751.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 700.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 723.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.77 V, Current: 743.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 743.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 799.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 710.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.79 V, Current: 812.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.79 V, Current: 732.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.79 V, Current: 756.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 743.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.82 V, Current: 777.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.80 V, Current: 830.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 736.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.80 V, Current: 784.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 720.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 784.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 745.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.79 V, Current: 732.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.78 V, Current: 674.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.84 V, Current: 787.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.79 V, Current: 791.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.84 V, Current: 775.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.81 V, Current: 774.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.79 V, Current: 745.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.79 V, Current: 730.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.82 V, Current: 682.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.83 V, Current: 726.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 811.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.84 V, Current: 764.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.78 V, Current: 775.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.84 V, Current: 781.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 726.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.83 V, Current: 751.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 725.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.83 V, Current: 809.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.81 V, Current: 758.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.80 V, Current: 770.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 718.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 690.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.83 V, Current: 641.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 774.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 727.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 728.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 752.00 mA, SOC: 12.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 748.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 798.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.79 V, Current: 747.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.80 V, Current: 803.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.80 V, Current: 793.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.78 V, Current: 717.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.84 V, Current: 800.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.84 V, Current: 754.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.80 V, Current: 802.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.83 V, Current: 765.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.83 V, Current: 762.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 863.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 809.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.84 V, Current: 793.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 820.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.78 V, Current: 695.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.84 V, Current: 815.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.79 V, Current: 791.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.80 V, Current: 775.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.83 V, Current: 761.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.82 V, Current: 828.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 847.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.83 V, Current: 797.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 708.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
