1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.81 V, Current: -429.00 mA, SOC: 74.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.76 V, Current: -863.00 mA, SOC: 81.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.00 V, Current: 1272.00 mA, SOC: 81.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.04 V, Current: 1546.00 mA, SOC: 81.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.04 V, Current: 1506.00 mA, SOC: 81.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.04 V, Current: 1476.00 mA, SOC: 82.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.04 V, Current: 1456.00 mA, SOC: 82.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.04 V, Current: 1464.00 mA, SOC: 82.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.05 V, Current: 1456.00 mA, SOC: 82.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.04 V, Current: 1423.00 mA, SOC: 82.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.04 V, Current: 1412.00 mA, SOC: 82.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 4.05 V, Current: 1428.00 mA, SOC: 83.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.05 V, Current: 1422.00 mA, SOC: 83.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.06 V, Current: 1546.00 mA, SOC: 83.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1551.00 mA, SOC: 83.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1539.00 mA, SOC: 83.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1532.00 mA, SOC: 83.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1538.00 mA, SOC: 84.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1534.00 mA, SOC: 84.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1537.00 mA, SOC: 84.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1535.00 mA, SOC: 84.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1533.00 mA, SOC: 84.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1526.00 mA, SOC: 84.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1526.00 mA, SOC: 85.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.07 V, Current: 1499.00 mA, SOC: 85.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.05 V, Current: 1350.00 mA, SOC: 85.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 4.05 V, Current: 1349.00 mA, SOC: 85.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.98 V, Current: 729.00 mA, SOC: 85.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.98 V, Current: 715.00 mA, SOC: 85.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.97 V, Current: 681.00 mA, SOC: 85.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.96 V, Current: 577.00 mA, SOC: 85.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.97 V, Current: 645.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.97 V, Current: 636.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.97 V, Current: 637.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.96 V, Current: 625.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.96 V, Current: 606.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.96 V, Current: 604.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.96 V, Current: 601.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.97 V, Current: 614.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.96 V, Current: 615.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.95 V, Current: 631.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.96 V, Current: 730.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.96 V, Current: 727.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.96 V, Current: 616.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.97 V, Current: 701.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.96 V, Current: 724.00 mA, SOC: 86.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.98 V, Current: 774.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 4.01 V, Current: 776.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.96 V, Current: 725.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.98 V, Current: 830.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 4.01 V, Current: 779.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 4.00 V, Current: 768.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 4.00 V, Current: 802.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.96 V, Current: 809.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 4.01 V, Current: 834.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 4.00 V, Current: 767.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 4.00 V, Current: 816.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.99 V, Current: 843.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.96 V, Current: 847.00 mA, SOC: 87.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.99 V, Current: 813.00 mA, SOC: 88.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.99 V, Current: 851.00 mA, SOC: 88.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.99 V, Current: 857.00 mA, SOC: 88.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.99 V, Current: 793.00 mA, SOC: 88.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.00 V, Current: 811.00 mA, SOC: 88.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.97 V, Current: 822.00 mA, SOC: 88.0 %, USB_Protocol: 136, USB_Current: 2000 mA
