1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.56 V, Current: -415.00 mA, SOC: 6.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.52 V, Current: -865.00 mA, SOC: 6.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.37 V, Current: -1260.00 mA, SOC: 6.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.49 V, Current: -925.00 mA, SOC: 6.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.49 V, Current: -989.00 mA, SOC: 6.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.49 V, Current: -971.00 mA, SOC: 6.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.45 V, Current: -1235.00 mA, SOC: 6.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.46 V, Current: -1093.00 mA, SOC: 6.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.48 V, Current: -972.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.48 V, Current: -965.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.48 V, Current: -968.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.49 V, Current: -874.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.48 V, Current: -983.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.50 V, Current: -727.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.52 V, Current: -646.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.50 V, Current: -763.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.52 V, Current: -653.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.51 V, Current: -660.00 mA, SOC: 5.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.48 V, Current: -989.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.50 V, Current: -749.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.50 V, Current: -762.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.50 V, Current: -768.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.50 V, Current: -681.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.51 V, Current: -654.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.51 V, Current: -653.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.50 V, Current: -763.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.51 V, Current: -664.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.51 V, Current: -715.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.50 V, Current: -772.00 mA, SOC: 4.0 %, USB_Protocol: 114, USB_Current: 5700 mA
