1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.52 V, Current: -431.00 mA, SOC: 6.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.48 V, Current: -698.00 mA, SOC: 6.0 %, USB_Protocol: 128, USB_Current: 2000 mA
1609459200s | Voltage: 3.71 V, Current: 1212.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.76 V, Current: 1615.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.76 V, Current: 1592.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.75 V, Current: 1532.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.76 V, Current: 1479.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.76 V, Current: 1492.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.76 V, Current: 1451.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.76 V, Current: 1444.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.76 V, Current: 1473.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.74 V, Current: 1257.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.75 V, Current: 1322.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.75 V, Current: 1390.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.77 V, Current: 1522.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.77 V, Current: 1507.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.77 V, Current: 1507.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.77 V, Current: 1502.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.77 V, Current: 1494.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.77 V, Current: 1490.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.77 V, Current: 1481.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.78 V, Current: 1477.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 1475.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 1472.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 1463.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 1463.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 1458.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.70 V, Current: 761.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.68 V, Current: 592.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.67 V, Current: 599.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.76 V, Current: 1292.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 1429.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 1429.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.70 V, Current: 777.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.69 V, Current: 756.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.69 V, Current: 743.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
